donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies
"is kind, intelligent, and curious about the world he lives in and wants to leave it a better place than he found it. Talented musically, he loves to play the piano and guitar and sing. His other hobbies include gardening and beekeeping. He is an inspiring young adult who intends to pursue a master’s degree in software engineering. He strives to excel in being charitable to the community as well as establishing a business that helps people. Tall and slim, he has a friendly voice accompanied by a nice smile. He has dark brown eyes, and his skin is beautiful and smooth having a soft tan tint to it. His young, handsome appearance is accompanied by a sweet, charming, and intelligent persona.. Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","147 lb
(66 kg)",Brown,"Black/
Wavy",Light,BS/Business,,Multi,Christian (Non-denominational),Student,"Beekeeping, Cooking, Guitar, Mountain biking, Piano, Singing"
"is a soft-spoken, well-mannered software engineer who believes keeping life simple is the key to happiness. He comes from a close-knit, traditional family that influenced his current lifestyle and priorities. Growing up, he played mixed martial arts and karate which taught him how to be disciplined and active. His fondest memories are traveling the world with his family and doing activities such as skiing and rock climbing. He is fluent in three languages and loves volunteering at the food banks during the weekends. His goal is to have a long, successful professional career in Information Technology and to be a good son, husband, and father. He is a handsome, tall, fit individual with strong arms from years of experience playing cricket and ping pong. He has thick, black hair that sweeps across his forehead and accentuates his equally full black beard. His brown eyes are soft and pair well with his chestnut skin tone and well-groomed eyebrows.. Community Service, Financial Security, Improve Environment, Recognition, Success, To Be Happy, To Help People, Travel","5'11""
(180 cm)","172 lb
(78 kg)",Brown,"Black/
Straight",Medium Light,MS/Computer Science,,Asian,Hindu,IT Professional,"Computer programming, Cricket, Karate, Travelling, Video games"
"is a humble, intelligent man who holds a positive attitude about life. He is very well read and finished over 100 books in one year. He enjoys time outdoors, taking hikes, cycling, gardening, and playing soccer. Maintaining his fit physique is important to him. He enjoys cooking the cultural dishes his family loves. He is interested in learning new things and seeing where this curiosity takes him in life. Currently he is exploring new career options and likes challenges that expand his worldview. This donor has dark brown eyes and a very approachable warm smile. He is tall and has an athletic build. He is always sporting a smile and radiating positivity.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'3""
(190 cm)","205 lb
(92 kg)",Brown,"Black/
Curly",Medium Dark,BS/Biology: Biochemistry,,Black,Christian (Non-denominational),Driver,"Cooking, Cycling, French Horn, Gardening, Reading, Soccer, Trombone"
"is an intellectual, patient man who always tries to stay present in the moment. His parents encouraged him to try everything to become accomplished and fulfilled. He loves spending time with his loved ones. He is a kind person and takes responsibility for any mistakes he might make, valuing empathy and understanding. He is calm, sincere, and personable with an abundance of knowledge and silly sense of humor. He cares deeply about others and the injustices in the world, choosing a career where he could help others as a staff representative as well as volunteering in his community. He stays active by hiking or running. Tall and slender, he has a kind face and soft blue eyes that give you his full attention. His sweet personality shines through with his contagious smile and the crinkles beside his eyes that peep through whenever he grins.. Community Service, Financial Security, Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","192 lb
(87 kg)",Blue,"Brown/
Straight",Medium Light,BA/Comm. Arts and Sciences,,Caucasian,Other (Unitarian Universalist),Staff Representative,"Digital minimalism, Learning people's stories, Magical realism, Reading, Running, Spending time with family, Travel, Venturing off the beaten path such as hiking to derelict bridges and defunct towns"
"is a social, outgoing internal medicine resident physician who enjoys playing board games, listening to music, and going on outdoor hikes. His goal is to excel in his field and work in academic medicine where he can teach and share his passion for medicine. His hobbies include listening to audio books, reading sci-fi and fantasy novels, and playing quidditch. He also has a talent for composing music and playing the saxophone and piano. He is a tall, handsome man with warm brown eyes. His kind smile pushes up his pink-flushed cheeks, making you feel hugged. His rugged build serves him well on his nature hikes.. Community Service, Financial Security, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","246 lb
(111 kg)",Brown,"Black/
Straight",Medium Light,MD,,Asian,"Christian (Currently Non-denominational, raised Southern Baptist)",Resident Physician,"Audio Books, Board games, Hiking, Piano, Reading, Saxophone"
"is an optimistic man who has a strong work ethic. He aspires to use his life skills to give back to his community. He wants to share his passions to bring people together. Caring and kind, he wants those around him to have a positive experience. Very sociable, he enjoys spending time with friends, playing tennis and weightlifting. He is an avid movie watcher and sports fan. His family values are important to him. He dreams of traveling the world and being part of a community wherever he goes. He is a tall young professional with thick wavy black hair and matching dark facial hair. He has an athletic build and a deep olive complexion. His smile is warm, and he has kind, large eyes.. Community Service, Fame, Financial Security, Further Education, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","240 lb
(108 kg)",Brown,"Black/
Wavy",Medium,BS/Finance,,Asian,Hindu,Strategy Consultant,"Comedy, Tennis, Weightlifting"
"is a charming, bright, and driven man, working on a PhD in the sciences. He is motivated to positively affect the lives of others through his future work. The traits that describe him best are cheerful, optimistic, and responsible. With our staff, he is kind and respectful. He likes to stay active by going to the gym, playing soccer, rock climbing and doing martial arts, where he has earned two black belts. He has a drive to constantly improve himself. He is an avid reader and enjoys photography. He is tall and very handsome. He has a fit build, nice thick wavy hair, and a great smile.. Fame, Financial Security, Further Education, Improve Environment, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","155 lb
(70 kg)",Brown,"Brown/
Wavy",Medium Light,Pursuing PhD/Molecular Biology,,Multi,,PhD Student,"Climbing, Hai Dong Gum Do, Photography, Reading, Soccer, Tae Kwon Do, Video games"
"is an outgoing person who sees himself as an empathic people pleaser. He is a polite, positive man and aspires to be happy every day. He loves to play the guitar and read books, especially about history. He is passionate about the outdoors, enjoying camping, hiking, biking, rock climbing, fishing, and star gazing. A devoted father, he appreciates how much joy a child can bring to any family. He tells us this motivated him to be a donor. Creativity and a sense of wonder are qualities he hopes to pass onto his own children. He is a handsome man with a slim fit figure. Typically seen in blue jeans and a button-down shirt, people tell him he looks like Tom Cruise when he smiles.. Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Recognition, To Be Happy, To Help People, Travel","5'10""
(177 cm)","155 lb
(70 kg)",Brown,"Brown/
Wavy",Light,BS/Management,,Caucasian,Christian (Catholic),Senior Manager,"Astronomy, Biking, Cooking, Fishing, Guitar, Hiking, Rock Climbing"
"has a gentle, soft-spoken nature with an unwavering optimism. He's a deeply goal-oriented individual, constantly seeking new adventures and challenges to conquer. An avid reader of non-fiction and adventure books, he's well-rounded in his interests. He's multilingual, speaking three languages fluently, a testament to his love for connecting with different cultures. He's a soccer enthusiast and a talented pianist, showcasing his diverse talents. He believes in doing good deeds for others underscoring his compassionate nature. Standing tall with a lean build, he exudes an air of calmness. His large brown eyes hold a captivating depth, reflecting both warmth and curiosity. A sweet, broad smile showcases straight white teeth that add to his inviting charm.. Community Service, Financial Security, Marriage/Family, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","190 lb
(86 kg)",Brown,"Black/
Straight",Light,BS/Veterinary Medicine,,Caucasian,,Business Owner,"Piano, Soccer, Surfing, Swimming"
"is a humble, calm and goal driven man. He is pursuing a bachelor's degree to become a structural engineer. He has a love for creating art, including drawing, cooking, and crocheting figurines. He is emotionally intuitive and enjoys developing and maintaining relationships with others. Having open discussions with friends is easy for him. He dreams of traveling and gaining new experiences alongside his partner. He has large brown eyes topped by his thick eyebrows, giving him a kind appearance. He wears his facial hair short and well-groomed. He has a button nose and thick lips that turn into a big, warm smile, revealing his white and straight teeth. His thick, black hair is swept to the side, giving him an effortlessly styled look. He is always well dressed in business casual. He is a good-looking man, and he has been told he looks like actor Mena Massoud, and we agree.. Community Service, Financial Security, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'8""
(172 cm)","160 lb
(72 kg)",Brown,"Black/
Straight",Medium Light,Pursuing BS/Civil Engineering,,Asian,,College Student,"baking, Cooking, Crochet, Drawing, Track and Field, Video games"
"is an incredibly motivated and hard-working individual. He takes a lot of pride in his self-started business and strives to make it a successful endeavor. When not working on building his company, this donor enjoys watching sports, taking care of his body, and consuming anime and video games. He carries himself professionally and respectfully. He is a tall and fit man with handsome features. He has a full head of hair and a well-groomed beard. His bright smile and warm brown eyes are expressive and reflect his cheerful personality.. Community Service, Financial Security, Improve Environment, Marriage/Family, Recognition, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","237 lb
(107 kg)",Brown,"Black/
Curly",Medium Dark,BS/Accounting,,Multi,Other (Spiritual ),Accountant/Business Owner,"Anime, Basketball, Football, Hiking, Reading, Saxophone, Travel, Video games"
"is a dedicated and hard-working man who is pursuing his dream of acting. As an immigrant, he remains very devoted to his family back home in Kazakhstan and works hard to support them in every way that he can. He finds joy in being with his friends and celebrating their achievements. He is always looking to learn and reads about the ways that he can improve himself. To relax, he enjoys listening to audiobooks and playing video games. He has kind blue eyes below his fair eyebrows. His thick blonde hair is neatly styled. He sports a fresh shave revealing his chiseled jawline and blushed lips. His sweet smile reveals his hidden dimples. He is very tall and extremely fit. He resembles actor Alfie Allen.. Community Service, Fame, Financial Security, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'3""
(190 cm)","228 lb
(103 kg)",Blue,"Blond/
Wavy",Light,High School Diploma,,Caucasian,Christian (Catholic ),Personal Trainer,"Basketball, Cooking, Movies, Physical Fitness, Reading, Soccer, Video games"
"is an ambitious entrepreneur who values family and his West African roots. His goals in life are to open a soccer training facility and have a family of his own. He is a self-starter and a planner, and these traits carry him through his successes in life. His ‘can do’ mindset focuses on hard work, accountability and consistency. He has a passion for creating music and loves to write lyrics and create beats as an outlet, along with playing sports and reading. His mother has had a great influence on his life and because of her, he values having a strong relationship with God. He is a handsome, tall man with a strong, athletic build. His strong cheek bones and jaw line are complemented with a shaved head and well-kept facial hair. He has a quiet, polite and calm presence. He resembles soccer player Blaise Matuidi.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'1""
(185 cm)","215 lb
(97 kg)",Brown,"Black/
Curly",Medium Dark,BS/Business Administration,,Black,Christian (Non-denominational),Soccer Trainer,"Basketball, Reading, Soccer, Writing and Recording Music"
"is cheerful, charming, and approachable. He does stand-up comedy and finds joy in making others laugh and has a knack for comedic timing. This donor genuinely cares about others and values his relationships. As a people person, he thrives when surrounded by his close friends, cherishing the moments filled with laughter and camaraderie. Growing up in a small town has instilled in him a deep empathy and a capacity to treat everyone with love and kindness. He embraces the philosophy of living in the moment, approaching life with a sense of spontaneity and appreciation for the present. When not pursuing his passion for comedy, he finds pleasure in watching movies, going on hikes, attending outdoor concerts, and exploring festivals. His appearance often draws comparisons to the renowned actor Nikolaj Coster-Waldau. His lustrous brown hair frames his face, adding depth to his overall charm. When he smiles, a set of dimples appears on his cheeks, amplifying his innate allure. Soft eyebrows gracefully arch above his warm brown eyes, exuding a sense of approachability and kindness. With a lean build, he carries himself with a boyish charm. There is an undeniable artistic flair that permeates his style, mirroring his creative soul and thoughtful nature.. Rewarding Career, Success","5'10""
(177 cm)","145 lb
(65 kg)",Brown,"Brown/
Straight",Light,High School Diploma,,Caucasian,,Customer Service Specialist,"Concerts, Drawing, Hiking, Movies, Stand-up Comedy, Writing"
"is undeniably self-driven, a diligent worker and harbors dreams of becoming an entrepreneur. His quiet and reserved disposition is complemented by a laid-back, down-to-earth attitude that endears him to those around him. His true sources of happiness are his children and the deep connections he shares with family and friends. His interests are as diverse as they are enriching – from watching sports to enjoying bowling, watching movies, playing board games and exploring new vegan restaurants, museums, and amusement parks with his kids. He's a maker of natural products, aspiring to turn this passion into a career, and finds solace in journaling. He has a striking physical appearance that complements his warm personality. His deep brown eyes are framed by neat eyebrows and his facial hair accentuates a strong jawline. His full lips, accompanied by a kind smile that showcases his nice teeth, radiate approachability, and friendliness. He has effortless charm.. Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'9""
(175 cm)","188 lb
(85 kg)",Brown,"Black/
Curly",Medium,High School Diploma,,Black,Other (N/A),City Carrier,"Basketball, Bowling, Cooking, Football"
"is kind, humble and eager to help others. As a dedicated medical student aspiring to become an orthopedic surgeon, he exemplifies unparalleled commitment and hard work. He is a passionate advocate for helping others, founding a non-profit charity during high school to combat food insecurity in his hometown. He has an active lifestyle including running marathons, rock climbing, playing the cello and reading poetry. Despite his ambitious pursuits, he maintains a laid-back personality, valuing empathy as a fundamental human trait. Lean and fit, his friendly smile radiates warmth and approachability.. Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","155 lb
(70 kg)",Brown,"Black/
Straight",Medium Light,Pursuing Doctor of Medicine,,Asian,,Clinical Researcher,"Cello, Physical Fitness, Rock Climbing, Running, Soccer"
"is a remarkable individual with a multifaceted personality that shines through in various aspects of his life. He finds joy in simple things like kittens, sunshine, and ice cream, and is happiest when his actions make a meaningful difference. 's approach to life is to glean lessons from all experiences, even the negative ones, and he finds solace in poetry and writing. He has respect for others and desires to create meaningful connections with those around him. stands tall with a lean build that suggests an active lifestyle. His long, flowing blonde hair cascades down the shoulders, framing a face with piercing blue eyes that seem to sparkle with kindness. A warm and inviting smile lights up his features, and his smooth complexion is accentuated by the absence of any facial hair. Glasses rest comfortably on ’s nose, adding an intellectual air to his overall appearance.. Financial Security, Further Education, Marriage/Family, Politics, Recognition, Success, To Be Happy, To Help People, Travel","5'11""
(180 cm)","140 lb
(63 kg)",Blue,"Blond/
Wavy",Light,Pursuing BA/Mathematics,,Caucasian,,Student,"Cooking, Reading, Snowboarding, Video games, Writing"
"is kind, curious, adventurous, and has a positive outlook on life. His kindness is resembled throughout his career as he helps others via message therapy. He aspires to someday create a wellness center to be able to teach other methods of message therapy. He also likes to read and learn new things. Playing the harp as a kid helped to give him patience and dexterity while martial arts gave him discipline and strength. This donor also speaks fondly of his loving wife and family, and they are expecting their first child. has long, luscious, brown hair that frames his face nicely. His smile matches his kind and gentle personality. His green eyes are accompanied by neat eyebrows and some neat facial hair. This donor has an athletic build with a slim body shape. He has been told that he has features that resemble the celebrity Adam Driver.. Community Service, Fame, Financial Security, Further Education, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'11""
(180 cm)","205 lb
(92 kg)",Green,"Brown/
Straight",Light,Massage Therapy Certification,,Caucasian,Other (Unitarian Universalist),Licensed Massage Therapist,"Card games, Choir, Harp, Martial Arts, Reading"
"is well spoken and beams with confidence. His love of geography and helping the environment led him to a career in coastal planning. He has a passion for traveling and being outdoors, mountain biking or hiking on various trails during his travels. He is also musically inclined, having played percussion instruments for over 20 years, as well as the guitar for over 10 years. He enjoys all forms of music and reading all different genres of books. He is an overall humble, generous individual who strives to leave the world a better place than he found it, which he exemplifies by frequently volunteering for Habitat for Humanity. He is fit with a lean body frame after a lifetime of playing basketball, football, baseball, and competitive swimming. He has beautiful round, hazel eyes that contrast well against his beige skin tone. His smooth brown hair is always neatly brushed to the side with a well-groomed beard. His chiseled facial bone structure and button-nose give a youthful, fresh appearance. Some say his celebrity lookalike is Toby McGuire, and we agree!. Community Service, Financial Security, Improve Environment, Marriage/Family, Rewarding Career, To Be Happy, To Help People, Travel","5'11""
(180 cm)","154 lb
(69 kg)",Hazel,"Brown/
Straight",Light,"BS/Geography, Urban Planning",,Caucasian,"Other (I was raised in a Protestant Christian culture and I appreciate how I was taught to be towards others, but I would not consider myself any one religion; I see similar themes in them all.)",Coastal Planner,"Movies, Music, Reading, Sports, Travel"
"is an ambitious man who leads a full and balanced life. He is an intelligent and successful engineer aiming to work his way up in the corporate world. A former Division I college athlete, he is passionate about leading a healthy lifestyle. He enjoys playing soccer, routinely exercising, spending time outdoors, and following a plant-based diet. He makes it a point to read regularly and practice his musical skills by playing the tuba and piano. His hard-working and disciplined attributes are complemented by his adventurous spirit and openness to taking exciting opportunities. He is kind and confident, and it’s clear that he not only values integrity and selflessness in others, but also practices those values. He is a handsome man with light brown eyes and warm, golden skin that always has a healthy glow from spending time outdoors. He has a lean, athletic build, and strong, muscular leg muscles from a lifetime of playing soccer. His long wavy, chestnut brown hair is always sleeked back and complements his defined cheekbones nicely. When he smiles, he reveals a perfect set of teeth and dimples.. Financial Security, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'11""
(180 cm)","167 lb
(75 kg)",Brown,"Brown/
Wavy",Medium Light,BS/Electrical Engineering,,Multi,Other (Spiritual),Contract Ops Manager,"Camping, Cooking, Hiking, Piano, Soccer, Tuba, Yoga"
"is a strong-willed, hardworking, and competitive individual who is constantly trying to work on himself and reach his goals. He is currently a flight instructor and hopes to become a commercial airline pilot. He enjoys spending time with his family and friends and relaxing with his dog. Growing up in a small, primarily wilderness community has given him a unique perspective. He values kindness and respect and tries to express those traits on a day-to-day basis. For fun, he enjoys playing basketball with his friends and going to the gym to work out. He is tall, handsome, and has a toned physique. He keeps a well-groomed mustache that pairs well with his calm, relaxed temperament. His blue eyes are a beautiful contrast with his brown hair. He has a contagious smile even with his mellow personality.. Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","173 lb
(78 kg)",Blue,"Brown/
Wavy",Light,Commercial Pilot Certification,,Caucasian,,Flight instructor,"Basketball, Body building, Football, Golf, Rock Climbing"
"is a friendly man with a passion for travel and exploration. His love for travel stemmed from his childhood, for he regularly went camping, to the beach, and amusement parks with his family. He also has a passion for music; he enjoys making music and creating music videos. He also enjoys bowling, writing and even cooking. Seafood would be his favorite cuisine to cook as well as to eat. He is finishing up his associate degree in recreational management and hopes to be a travel agent. He is goal-driven and desires to create a stable financial system for him and his kids, that can be passed down from generation to generation. His talents are memorable and overall match his spunky, cool, and happy personality. This donor is quite handsome, bold, and stylish. He has a toned physique. He has a special glow to him when he walks in the office, for he is always excited for the day and is never gloomy. His dark brown braided hair is kept up but has added flair to it with blond tips. He has a charming smile and friendly personality that is quite contagious. His round, brown eyes beam with honesty and happiness when he gazes upon you.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'5""
(165 cm)","175 lb
(79 kg)",Brown,"Brown/
Curly",Medium Dark,Pursuing AA/Tourism Management,,Black,Christian (Non-denominational),Business Owner,"Bowling, Camping, Cooking, Football, Music production, Skating, Videography"
"is creative, intelligent, and socially articulate. Happy and warm-hearted, he thrives in social settings and will do anything to make someone’s day better. He truly sees value in putting relationships with people first above all else and works hard to understand and respect those around him. He is currently working on his psychology degree that he hopes to use to further understand and help others. In his free time, he enjoys reading comic books, spending time with family, and playing videogames. His chocolate brown hair is always groomed to fit his dashing, cheerful smile. His stunning green eyes complement his bronze-colored skin. His steady jawline emphasizes his broad smile that enchants those around him.. Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'10""
(177 cm)","128 lb
(58 kg)",Green,"Brown/
Straight",Medium Light,BA/Psychology,,Latino,,Student,"Baseball, Comic Books, Cooking, Cross Country, Movies, Soccer, Tae Kwon Do"
"is an organized perfectionist who is extremely career and goal oriented. Growing up, both of his parents attended school while raising him which required him to obtain skills in planning and doing things independently early on in life. He earned his bachelor’s in business administration and plans to pursue his master’s in project management in the future. He grew up on rural, Latin American coastal town where he spent his days having adventures on the beach, becoming fluent in Spanish, and learning how to play the flute. He enjoys reading, going on hikes, and playing video games. He loves going out to Latino dance halls and dancing salsa and merengue. He is training to compete in an Ironman race next year. He has a welcoming smile that is sweet and genuine. His soft, brown eyes carry a peaceful gaze and are framed by thin, black glasses that give him a mysterious allure and calming presence. He has muscular arms that are covered in intricate and colorful sleeve tattoos. He has a full head of thick black hair that pairs well with his neatly trimmed mustache and beard.. Financial Security, Further Education, Recognition, Rewarding Career, Success, To Be Happy, Travel","5'9""
(175 cm)","204 lb
(92 kg)",Brown,"Black/
Straight",Light,BBA,,Multi,Christian (Non-denominational),Executive Assistant,"Cooking, Flute, Soccer, Swimming"
"is an intellectual multimedia journalist who is always looking to learn and improve. He was raised to have a strong work ethic which led him to become a straight-A student with a love for reading the thickest books he could find. His curious nature led him to earn a Bachelor of Arts in Mass Communication as well as several certifications in digital media and photojournalism. His goal is to have a long-term career in journalism, and eventually launch his own travel show. In his free time, he enjoys resin-molding to make chess boards and pieces, video editing, and hiking. He has round blue eyes, accentuated by the framing of his thick black glasses. His dark blonde hair is straight and combed to the side giving him a sleek and youthful look. He is usually dressed business casual in a collared, button-down shirt, and cardigan vest on top.. Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'3""
(190 cm)","248 lb
(112 kg)",Blue,"Blond/
Straight",Medium Light,BA/Mass Communication,,Caucasian,Other (Vaguely spiritual agnostic),Multimedia Journalist,"Cooking, Creative Writing, Hiking, Photography, Reading, Video editing"
"is a scholar who enjoys reading poetry, fiction, and philosophy. He is well-read, intelligent, and skilled at communicating his ideas verbally and in writing. He has excelled academically throughout his life and has multiple advanced degrees. His passion includes being an educator and strives to channel his mother's teachings of being open-minded and enthusiastic about new experiences in life. He enjoys skiing, hiking, improv and hanging out with friends. His family is an important part of his life, and he regularly devotes his time to them. He is handsome and dresses himself in neat, professional attire daily. He has thick, curly blond hair that is kept short. His warm ivory skin pairs well with his blue eyes. He is a thoughtful and well-spoken individual who is always kind when speaking with him. He has a lovely smile that is quick to appear with perfect teeth to show. He is a staff favorite as his personality is kind and thoughtful.. Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People","6'0""
(182 cm)","173 lb
(78 kg)",Blue,"Blond/
Curly",Light,PhD/Political Philosophy,,Caucasian,Jewish (Reform ),Assistant Professor,"Hiking, Improv Comedy, Poetry, Skiing, Writing"
"is a creative and humble man with a devotion to biomedical and chemical engineering. Growing up along the Iranian Plateau, he fostered a love for the outdoors--playing soccer, taking photographs, and hiking by the river along the mountain ranges. His time in the U.S. Army instilled the values of service and empathy in his personality. His critical thinking skills and love for mathematics and mechanics lead him to get certified as a Surgical technician and eventually earn his Ph.D. in Chemical Engineering. He expresses his creativity by playing the drums and taking pictures. His goal is to publish more biomedical papers and spend more time with his family. His masculine features such as his full, round beard are softened by a gentle smile that permanently rests on his face. His deep brown eyes radiate warmth and sincerity when he talks. His friendly voice is accompanied by his sweet and charming persona.. Community Service, Financial Security, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'10""
(177 cm)","170 lb
(77 kg)",Brown,"Brown/
Straight",Light,PhD/Chemical Engineering,,Caucasian,,Program Specialist,"Basketball, Drums, Family Activities, Photography, Soccer, Swimming"
"is a creative, caring, and dedicated chemistry research student who is greatly influenced by his close-knit family. He intends to pursue a PhD in Chemistry. He says his goal in life is to help people around the world with kindness. His commitment to service and openness to experiences are shaped by the times in his childhood when he traveled to developing nations with his physician father. He centers his pursuits around helping others, from becoming a lifeguard to dedicating his life to helping create new medicines. He loves being in the sun and enjoys swimming, hiking, and playing soccer with his brother. This donor is a handsome, affable individual with a fit physique. His dark brown almond eyes curve up and radiate with warmth when he smiles. His casual style and friendliness bring a unique charm, making him approachable.. Community Service, Fame, Financial Security, Further Education, Improve Environment, Success, To Help People, Travel","5'8""
(172 cm)","172 lb
(78 kg)",Brown,"Black/
Wavy",Light,BS/Chemistry,,Asian,,Student Researcher,"Basketball, Cello, Cooking, Hiking, Soccer, Swimming, Travel"
"is a down-to-earth and hardworking family man who values honesty, integrity, and loyalty. Growing up, his mother and grandmother were the most important figures in his life and instilled strong family values in him. The most important thing to him is taking care of his children, both his own daughter and his partner's daughter, and he spends most of his free time with them. He is a business owner who admires a strong work ethic. This donor enjoys watching football, basketball, and MMA fighting. He is ambidextrous, has a photographic memory and an ability to easily learn new information. He is tall with a sturdy build from his time spent playing football and basketball. He loves being active outdoors with his family. He has soft, light brown eyes that gaze with attentiveness.. Financial Security, Further Education, God/Religion, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","234 lb
(106 kg)",Brown,"Brown/
Wavy",Light,Tow Operator Certification,,Caucasian,Christian (Non-denominational ),Business Owner,"Basketball, Family Activities, Fishing, Football, Weightlifting"
"is an ambitious and hardworking day trader who is not afraid to go after his dreams. His first-generation immigrant background lends him a unique lens into various cultural nuances. He learned to be confident in his own skin and become open to new experiences. From a young age, he was tasked with taking care of his siblings, instilling in him the value of patience and altruism. His challenging upbringing led him to pursue his BA in Political Science and later, his Juris Doctor in Law. His hobbies include playing the guitar, producing music, trading, and modeling. He is a handsome former model with unique, captivating features. He is tall with a lean physique. He has long, straight, silky black hair that's always neatly styled back in a ponytail to perfectly frame his face. His warm ivory skin contrasts well with his pink, structured cheekbones, and dark brown almond eyes. His casual style and friendly demeanor make him charming and approachable. He looks like the singer Yuta Nakamoto.. Financial Security, Recognition, Success, To Be Happy, Travel","6'0""
(182 cm)","139 lb
(63 kg)",Brown,"Black/
Straight",Light,Juris Doctor,,Asian,,Day Trader,"Guitar, Modeling, Music production, Stock Trading"
"is a kind, clever and charming individual who will put a smile on others’ faces when he can. He admires integrity, intelligence, and loyalty in others and strives to represent those traits in his day-to-day life. In his downtime, he enjoys reading books about self-improvement and watching classic movies. For fun, he plays outdoor sports including sand volleyball, basketball, and football. As a part of his healthy lifestyle, he cooks well-balanced meals for his family. He values spending time with his family, especially his son, and enjoys going on hikes, playing volleyball, and having family BBQs. He has a love for photography, and he has been capturing memories for over 10 years. For his career goals, he is working to create a business in owning multiple investment properties. He believes hard work is the way to reach his goals and his passion will lead him to success. He is an energetic individual who always starts the day with a workout to maintain his healthy physique.. Financial Security, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'10""
(177 cm)","172 lb
(78 kg)",Brown,"Black/
Wavy",Medium Light,High School Diploma,,Multi,Christian (Baptist),Account Executive,"Biking, Hiking, Movies, Photography, Volleyball, Working out"
"is a calm, honest, and kind-hearted person. He strives to be spontaneous and lives life to the fullest each day. He grew up exposed to many different cultures, languages, and religions and it easy for him to get along with those who come from different backgrounds. He works in the IT field and aspires to work in data analytics or software engineering. Music also plays a major role in his life, from playing in high school to playing guitar today. He loves to work on cars in his free time. He also enjoys fostering animals from the local shelter and has adopted two himself. He is tall with a strong, athletic build. As a child, he spent countless hours playing soccer, eventually leading to being a goalkeeper for his college team. A handsome man, his high cheekbones complement his large, round dark brown eyes. His medium espresso skin tone pairs well with his dark and curly black hair.. Financial Security, Rewarding Career, Success, To Be Happy, To Help People","6'2""
(187 cm)","209 lb
(94 kg)",Brown,"Black/
Curly",Medium,BBA,,Black,,Routing Analyst,"Guitar, Music production, Soccer, Working on cars"
